,number,id,link,title,area,rooms,address,price,company_link,company_name,date
325,6,210881612,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881612,"2-ком. квартира 38,3 м², 1/5 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Кожара, д. 10 (ост. ""Рембыттехника"")","67 480 р. 1 761,88  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-25
326,7,210881587,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881587,"3-ком. квартира 68 м², 8/9 эт.",Новобелицкий,3,"Новобелицкий р-н, ул. Ильича, д. 91 (35-й микрорайон)","95 000 р. 1 397,06  р./м²",None,Собственник,2022-11-25
327,8,210881545,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881545,"2-ком. квартира 54,1 м², 1/5 эт.",Гомельский,2,"Гомельский р-н, пос. Урицкое, ул. Мира, д. 15","84 529 р. 1 562,46  р./м²",None,Агентство,2022-11-25
328,9,210812503,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210812503,"1-ком. квартира 45 м², 2/5 эт.",Гомельский,1,"Гомельский р-н, пос. Ченки, ул. Севруковская, д. 6 (Севруки)","100 000 р. 2 222,22  р./м²",None,Собственник,2022-11-25
329,10,210742690,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210742690,"3-ком. квартира 64,9 м², 2/9 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Свиридова, д. 7 (Брянский)",,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"", УНП 491323159",2022-11-25
330,11,210880982,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880982,"4-ком. квартира 81 м², 4/9 эт.",Железнодорожный,4,"Железнодорожный р-н, ул. 50 лет Гомсельмаша, д. 4","134 000 р. 1 654,32  р./м²",None,Собственник,2022-11-25
331,12,210880967,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880967,"1-ком. квартира 38 м², 13/18 эт.",Советский,1,"Советский р-н, ул. Пенязькова","64 000 р. 1 684,21  р./м²",None,Собственник,2022-11-24
332,13,210880946,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880946,"3-ком. квартира 72 м², 7/9 эт.",Центральный,3,"Центральный р-н, ул. Головацкого, д. 119 (Головацкого)","165 750 р. 2 302,08  р./м²",None,Собственник,2022-11-24
333,14,210880928,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880928,"2-ком. квартира 51 м², 4/4 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Чонгарской дивизии, д. 3 (Чонгарской дивизии)","63 300 р. 1 241,18  р./м²",None,Собственник,2022-11-24
334,15,210880921,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880921,"2-ком. квартира 54,9 м², 5/10 эт.",Советский,2,"Советский р-н, ул. Пенязькова, д. 27 (Серегина)","132 550 р. 2 414,39  р./м²",None,Собственник,2022-11-24
335,16,210880911,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880911,"2-ком. квартира 41,4 м², 1/5 эт.",Советский,2,"Советский р-н, пр-т Октября, д. 18 (остановка ""Проспект Октября"")","63 000 р. 1 522,47  р./м²",None,"Агентство ООО ""Капитал Недвижимости""",2022-11-24
336,17,210784419,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210784419,"2-ком. квартира 51,9 м², 4/9 эт.",Центральный,2,"Центральный р-н, ул. Головацкого, д. 120","121 000 р. 2 331,41  р./м²",/single_spec.php?id=210652159,"Агентство ООО ""Центр Недвижимости Пакодан Регион""",2022-11-24
337,18,210880874,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880874,"1-ком. квартира 30,2 м², 5/5 эт.",Центральный,1,"Центральный р-н, ул. Советская, д. 72","57 250 р. 1 897,58  р./м²",/single_spec.php?id=210567805,"Агентство ООО ""А21 Недвижимость центр услуг""",2022-11-24
338,19,210637647,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210637647,"2-ком. квартира 56,5 м², 3/3 эт.",Гомельский,2,"Гомельский р-н, д. Бобовичи, ул. Дружбы","55 000 р. 973,45  р./м²",None,Собственник,2022-11-24
