,number,id,link,title,address,price,company_link,company_name
960,1,210731044,https://www.moyareklama.by/single/ad/210731044,Коттедж 173 м² на участке 10 сот.,"Речицкий р-н, г. Речица, ул. Крапивы, д. 14",300 000 р.,None,Собственник
961,2,208797620,https://www.moyareklama.by/single/ad/208797620,Дом 120 м² на участке 10 сот.,"Лоевский р-н, д. Хоминка, ул. Усманова, д. 8",11 700 р.,None,Собственник
962,3,209599934,https://www.moyareklama.by/single/ad/209599934,Дом 160 м² на участке 8 сот.,"Гомельский р-н, пос. Ченки, ул. 50 лет СССР, д. 16",197 000 р.,None,Собственник
963,4,210751583,https://www.moyareklama.by/single/ad/210751583,"Дом 25,4 м² на участке 13 сот.","Добрушский р-н, аг. Крупец, ул. Первомайская",8 890 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
964,5,210733771,https://www.moyareklama.by/single/ad/210733771,"Дом 69,4 м² на участке 12 сот.","Советский р-н, ул. Тереническая",38 000 р.,None,Собственник
965,6,208606432,https://www.moyareklama.by/single/ad/208606432,Дом 175 м² на участке 10 сот.,"Новобелицкий р-н, ул. Зябровская, д. 2 (мкр Южный (104))",220 000 р.,None,Собственник
966,7,210417311,https://www.moyareklama.by/single/ad/210417311,Дом 140 м² на участке 8 сот.,"Новобелицкий р-н, ул. Улуковская, д. 17",190 000 р.,None,Собственник
967,8,210748906,https://www.moyareklama.by/single/ad/210748906,Дом 58 м² на участке 25 сот.,"Гомельский р-н, д. Глубоцкое, ул. Восточная",19 000 р.,None,Собственник
968,9,209977676,https://www.moyareklama.by/single/ad/209977676,"Коттедж 246 м² на участке 12,7 сот.","Гомельский р-н, пос. Ченки, ул. Васильковая",,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
969,10,209152370,https://www.moyareklama.by/single/ad/209152370,"Дом 255 м² на участке 12,7 сот.","Советский р-н, ул. Ауэрбаха (стадион ""Локомотив"")",,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
970,11,209277257,https://www.moyareklama.by/single/ad/209277257,"Коттедж 167 м² на участке 11,2 сот.","Советский р-н, ул. Петровского (стадион Локомитив)",,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
971,12,209792055,https://www.moyareklama.by/single/ad/209792055,Коттедж 388 м² на участке 15 сот.,"Гомельский р-н, пос. Ченки, ул. Ченковская",468 500 р.,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
972,13,210735079,https://www.moyareklama.by/single/ad/210735079,Полдома 50 м² на участке 6 сот.,"Новобелицкий р-н, ул. Зайцева, д. 21/2",100 000 р.,None,Собственник
