,number,id,link,title,address,price,company_link,company_name
215,16,210864737,https://www.moyareklama.by/single/ad/210864737,Помещение для торговли от 85 до 140 м²,"Советский р-н, пр-т Речицкий, д. 65 (ТД ""Речицкий"", р-к Давыдовский)",,None,Собственник
216,17,210866807,https://www.moyareklama.by/single/ad/210866807,Комплекс свободного назначения 473 м²,"Добрушский р-н, д. Жгуно-Буда, ул. Школьная, д. 2А","17 000  р. 35,94  р./м²",/single_spec.php?id=207501945,"Агентство ""Гид по недвижимости"""
217,18,210866760,https://www.moyareklama.by/single/ad/210866760,Помещение под общепит 50 м²,"Новобелицкий р-н, ул. Ильича, д. 51Г (2 школа)",750 р./мес. 15  р./м²/мес.,None,Собственник
218,19,210866750,https://www.moyareklama.by/single/ad/210866750,Помещение 71 м²,"Советский р-н, ул. Барыкина, д. 86","2 689 р./мес. 37,87  р./м²/мес.",None,Собственник
219,20,210829200,https://www.moyareklama.by/single/ad/210829200,"Павильон для торговли 81,3 м²","Центральный р-н, ул. Мазурова, д. 22а","2 000 р./мес. 24,60  р./м²/мес.",None,Собственник
220,1,210379292,https://www.moyareklama.by/single/ad/210379292,"Павильон под магазин 43,8 м²","Добрушский р-н, 0 Добруш, ул. Лесная, д. 9е","805 р./мес. 18,38  р./м²/мес.",None,Собственник
221,2,210866541,https://www.moyareklama.by/single/ad/210866541,Помещение для торговли 33 м²,"ул. Песина, д. 33 (Универмаг)",,None,Собственник
222,3,210866263,https://www.moyareklama.by/single/ad/210866263,Помещение (торговые места) от 2 до 10 м²,"Центральный р-н, ул. Карповича, д. 28",,None,Собственник
223,4,210866253,https://www.moyareklama.by/single/ad/210866253,"Помещение под офис от 7,4 до 19 м²","Центральный р-н, ул. Карповича, д. 28",,None,Собственник
224,5,210866265,https://www.moyareklama.by/single/ad/210866265,Помещение (площади) от 4 до 100 м²,"Центральный р-н, ул. Карповича, д. 28 (в магазине Рыба и морепродукты)",,None,Собственник
225,6,210866233,https://www.moyareklama.by/single/ad/210866233,Помещение (павильон) от 20 до 70 м²,"Центральный р-н, ул. Карповича, д. 28 (В ТЦ ""Бытовая техника"")",,None,Собственник
226,7,210866264,https://www.moyareklama.by/single/ad/210866264,Помещение (роллет) 6 м²,"Центральный р-н, ул. Карповича, д. 28 (Территория центрального рынка)",,None,Собственник
227,8,210866161,https://www.moyareklama.by/single/ad/210866161,Помещение 72 м²,"Советский р-н, ул. Сосновая, д. 22-90","1 000 р./мес. 13,89  р./м²/мес.",None,Собственник
228,9,210848075,https://www.moyareklama.by/single/ad/210848075,Помещение под офис от 14 до 55 м²,"Железнодорожный р-н, ул. Шилова, д. 22",,None,Собственник
229,10,210848068,https://www.moyareklama.by/single/ad/210848068,Помещение под склад от 20 до 500 м²,"Железнодорожный р-н, ул. Шилова, д. 22",,None,Собственник
230,11,210827685,https://www.moyareklama.by/single/ad/210827685,Помещение (офис и склады) от 12 до 400 м²,"Железнодорожный р-н, ул. Шилова, д. 22 (Центр)",,None,Собственник
231,12,210847944,https://www.moyareklama.by/single/ad/210847944,Помещение под офис от 12 до 150 м²,"Центральный р-н, ул. Гагарина, д. 59",,None,Собственник
232,13,210864629,https://www.moyareklama.by/single/ad/210864629,"Помещение 25,3 м²","Центральный р-н, ул. Т.С. Бородина, д. 4",,None,Собственник
233,14,210864630,https://www.moyareklama.by/single/ad/210864630,Помещение 212 м²,"Центральный р-н, ул. Т.С. Бородина, д. 6",,None,Собственник
234,15,210864627,https://www.moyareklama.by/single/ad/210864627,"Помещение (цокольный этаж) 76,7 м²","Центральный р-н, ул. Т.С. Бородина, д. 6А",,None,Собственник
235,16,210666464,https://www.moyareklama.by/single/ad/210666464,"Павильон для торговли 19,5 м²","Новобелицкий р-н, ул. Ильича, д. 299 (рынок Черниговский)","15 000  р. 769,23  р./м²",None,Собственник
236,17,210666463,https://www.moyareklama.by/single/ad/210666463,"Павильон для торговли 19,5 м²","Новобелицкий р-н, ул. Ильича, д. 299 (рынок Черниговский)",,None,Собственник
237,18,210862672,https://www.moyareklama.by/single/ad/210862672,"Помещение торгово-офисное 44,9 м²","Центральный р-н, г. Гомель, ул. Гагарина, д. 63","1 167 р./мес. 25,99  р./м²/мес.",None,Собственник
238,19,210863201,https://www.moyareklama.by/single/ad/210863201,"Здание (состоит из одного помещения) 8,9 м²","Железнодорожный р-н, ул. Ефремова, д. 63Б","20 000  р. 2 247,19  р./м²",None,Собственник
239,20,210863189,https://www.moyareklama.by/single/ad/210863189,Здание 15 м²,"Железнодорожный р-н, пр-т Победы, д. 11","65 000  р. 4 333,33  р./м²",None,Собственник
240,1,210863185,https://www.moyareklama.by/single/ad/210863185,"Помещение 360,6 м²","Центральный р-н, ул. Карповича, д. 45","561 600  р. 1 557,40  р./м²",None,Собственник
241,2,210569234,https://www.moyareklama.by/single/ad/210569234,Помещение для торговли от 110 до 360 м²,"Железнодорожный р-н, ул. Карповича, д. 45",,None,Собственник
242,3,210864407,https://www.moyareklama.by/single/ad/210864407,Здание для торговли 143 м²,"Советский р-н, пр-т Речицкий, д. 70Б","125 000  р. 874,13  р./м²",None,Собственник
